danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,duration,track_uri,clusterId
0.616,0.972,3,-2.449,0.104,0.278,7.22e-05,0.346,0.611,133.041,オトメの心得,188880,spotify:track:3VlVicSANh9Rg1GPvcuPHM,0
0.511,0.806,7,-3.433,0.069,0.433,0.0,0.0965,0.552,102.07,salvation - Anime ver.,91240,spotify:track:79AU26qJdGVLPK31RsWy31,2
0.382,0.97,3,-2.417,0.115,0.00615,0.0,0.0851,0.125,113.956,Fire,271051,spotify:track:6YqdIunRScTuFBASJZpahU,0
0.601,0.64,8,-4.276,0.036,0.544,0.0,0.0832,0.345,99.989,Etoile,243055,spotify:track:6LgX94vnLQ4JZTMojQ3D30,2
0.495,0.878,1,-4.3,0.058,0.0216,0.0,0.186,0.621,90.492,No.1,230600,spotify:track:7b7QqKepv8wY6VopSmQqX8,2
0.429,0.447,7,-5.889,0.0388,0.506,0.0,0.0943,0.332,119.227,unlasting,295219,spotify:track:4sy8klhEbwqHc2od9K3p1h,2
0.362,0.826,11,-4.157,0.0548,0.000695,0.0,0.217,0.279,84.891,君が見た夢の物語,261627,spotify:track:3S53tu7z9QRZRE7KNW1kcV,4
0.532,0.932,5,-4.303,0.0522,0.0661,0.0,0.38,0.738,100.1,麻痺,198100,spotify:track:1LwSnnsoKcAUv9TPFEZ7iQ,4
0.378,0.231,5,-7.473,0.0292,0.894,7.85e-05,0.138,0.0737,84.982,祈りの唄,269260,spotify:track:1bdukq5Iu0S63kxAz5sAaU,1
0.517,0.882,2,-5.507,0.077,7.87e-05,0.0,0.336,0.342,103.003,Get up! Shout!,250118,spotify:track:2FTt8Qkc04fcRZzwDEsNrh,4
0.442,0.888,9,-5.747,0.121,0.0127,0.000727,0.2,0.435,163.032,裸の勇者,201973,spotify:track:3k64vNcgYPkETG7TNgpW4o,0
0.399,0.723,11,-4.507,0.0681,0.124,0.0,0.352,0.22,137.032,衝撃,181595,spotify:track:2GeK108DTmnSEfwwCR85mp,4
0.552,0.49,0,-6.315,0.0244,0.245,0.0,0.137,0.53,81.048,シオン,231618,spotify:track:26KOrgIIGuxWVmFJszeYJs,2
0.488,0.364,9,-9.769,0.0285,0.856,0.00747,0.133,0.749,84.108,ad meliora - acoustic mix,194707,spotify:track:2mRlUWybmhSECIrTIjuZyt,2
0.207,0.501,1,-11.318,0.0427,0.856,0.0746,0.157,0.499,143.857,auro nowe,243907,spotify:track:5sVyvlVKcWVxYvEdQISHqR,2
